
2025/04/11 (00:21:09) | ===> btop++ v.1.4.0
2025/04/11 (00:21:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/11 (00:21:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/13 (21:48:50) | ===> btop++ v.1.4.0
2025/04/13 (21:48:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/13 (21:48:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/16 (01:43:08) | ===> btop++ v.1.4.0
2025/04/16 (01:43:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/16 (01:43:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/19 (20:10:25) | ===> btop++ v.1.4.0
2025/04/19 (20:10:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/19 (20:10:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/19 (21:34:07) | ===> btop++ v.1.4.0
2025/04/19 (21:34:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/19 (21:34:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/19 (23:07:57) | ===> btop++ v.1.4.0
2025/04/19 (23:07:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/19 (23:07:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (01:06:14) | ===> btop++ v.1.4.0
2025/04/20 (01:06:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (01:06:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (01:07:02) | ===> btop++ v.1.4.0
2025/04/20 (01:07:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (01:07:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (01:11:39) | ===> btop++ v.1.4.0
2025/04/20 (01:11:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (01:11:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (15:08:15) | ===> btop++ v.1.4.0
2025/04/20 (15:08:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (15:08:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (15:08:32) | ===> btop++ v.1.4.0
